Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,Pkatt,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,Dead,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks
Fabio,BRA,GK,41,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,,0,0,,0.0,0.0,794,957,82.96760710553815,15481,10673,268,271,98.8929889298893,299,308,97.07792207792207,146,295,49.49152542372882,0.0,0.0,1,3,0,0,608,348,0,2,0,0,0,0,0,0,1,0
German Cano,ARG,FW,33,38,37,3081.0,34.233333333333334,26.0,3.0,29.0,26.0,0.0,0.0,2.0,0.0,18.4,18.4,1.4,19.799999999999997,14.0,29.0,126.0,130,63,48.46153846153846,3.8011695906432745,1.8421052631578947,0.2,0.4126984126984127,16.6,1,0,0.14153846153846153,7.600000000000001,7.6,435,574,75.78397212543554,6116,832,263,319,82.44514106583071,113,143,79.02097902097903,30,40,75.0,1.1,1.6,21,20,5,1,500,71,1,6,12,2,0,0,0,0,3,20
Andre,BRA,MF,20,34,34,3015.0,33.5,1.0,1.0,2.0,1.0,0.0,0.0,10.0,1.0,1.0,1.0,1.7,2.7,71.0,200.0,36.0,28,10,35.714285714285715,0.835820895522388,0.29850746268656714,0.03571428571428571,0.1,27.9,0,0,0.03571428571428571,0.0,0.0,2268,2458,92.27013832384053,34408,10297,1269,1336,94.98502994011976,769,810,94.93827160493828,149,180,82.77777777777777,1.9,-0.7,28,219,11,3,2404,50,5,19,5,6,0,0,0,0,4,33
Ganso,BRA,MF,32,33,33,2477.0,27.522222222222222,5.0,5.0,10.0,2.0,3.0,3.0,7.0,0.0,3.9,1.5,4.8,6.3,28.0,208.0,111.0,20,5,25.0,0.7272727272727273,0.18181818181818182,0.25,1.0,24.4,6,3,0.075,1.1,0.5,1816,2076,87.47591522157995,25129,7946,1112,1201,92.5895087427144,538,598,89.96655518394648,82,129,63.565891472868216,5.8,0.2,68,220,52,8,1922,143,11,6,60,30,34,19,2,1,11,25
Samuel Xavier,BRA,DF,31,33,32,2826.0,31.4,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,4.0,5.7,66.0,141.0,138.0,29,7,24.137931034482758,0.9235668789808917,0.2229299363057325,0.06896551724137931,0.2857142857142857,19.9,0,0,0.05862068965517241,0.30000000000000004,0.3,1642,1948,84.29158110882958,22145,7169,1027,1108,92.68953068592057,492,576,85.41666666666666,51,127,40.15748031496063,4.5,-2.0,37,100,37,16,1617,323,6,3,77,273,7,1,5,0,8,41
Jhon Arias,COL,FW,24,33,31,2663.0,29.58888888888889,7.0,10.0,17.0,6.0,1.0,1.0,4.0,0.0,3.4,2.7,7.1,9.8,138.0,171.0,266.0,40,14,35.0,1.3513513513513513,0.47297297297297297,0.175,0.5,19.3,5,1,0.0675,3.6,3.3,1535,1850,82.97297297297297,20108,5834,975,1060,91.98113207547169,373,455,81.97802197802197,71,151,47.019867549668874,6.5,2.9,72,118,51,9,1639,206,2,8,172,44,107,34,39,1,5,35
Manoel,BRA,DF,31,31,31,2448.0,27.2,4.0,1.0,5.0,4.0,0.0,0.0,5.0,2.0,1.6,1.6,1.1,2.7,24.0,95.0,11.0,20,4,20.0,0.7352941176470589,0.14705882352941177,0.2,1.0,10.7,0,0,0.08,2.4,2.4,1508,1677,89.92248062015504,27767,10682,640,666,96.09609609609609,650,708,91.80790960451978,191,258,74.03100775193798,0.7,-0.1,8,91,1,0,1561,115,0,14,5,11,0,0,0,0,1,5
Nino,BRA,DF,24,30,30,2511.0,27.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.6,1.5,34.0,85.0,2.0,16,4,25.0,0.5734767025089607,0.14336917562724016,0.0,0.0,14.3,0,0,0.05625,-0.9,-0.9,1442,1595,90.40752351097179,26579,9369,595,633,93.99684044233807,672,712,94.3820224719101,154,205,75.1219512195122,0.9,-0.6,8,81,2,0,1529,65,1,19,1,3,0,0,0,0,1,10
Matheus Martinelli,BRA,MF,20,28,17,1619.0,17.988888888888887,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,2.2,3.8000000000000003,42.0,119.0,64.0,23,6,26.08695652173913,1.2777777777777777,0.3333333333333333,0.043478260869565216,0.16666666666666666,18.9,0,0,0.06956521739130435,-0.6000000000000001,-0.6,1193,1365,87.3992673992674,18051,5268,634,684,92.69005847953217,433,480,90.20833333333333,67,93,72.04301075268818,2.4,0.8,23,93,21,0,1317,44,4,5,13,13,0,0,0,0,4,21
Caio Paulista,BRA,DF,23,27,17,1609.0,17.877777777777776,1.0,3.0,4.0,1.0,0.0,0.0,3.0,1.0,2.2,2.2,2.0,4.2,80.0,55.0,129.0,31,10,32.25806451612903,1.7318435754189945,0.558659217877095,0.03225806451612903,0.1,18.5,0,0,0.07096774193548387,-1.2000000000000002,-1.2,787,944,83.36864406779661,10084,2355,537,591,90.86294416243655,206,248,83.06451612903226,11,25,44.0,2.3,1.0,20,35,17,7,805,135,1,1,42,133,0,0,0,0,4,26
